电子信息与电气工程学院(计算机系),船舶海洋与建筑工程学院,机械与动力工程学院,电子信息与电气工程学院,(031)电子信息与电气工程学院(电气系),电子信息与电气工程学院(自动化系),电子信息与电气工程学院(电子系),电子信息与电气工程学院(仪器系),电子信息与电气工程学院(网络空间安全学院),电子信息与电气工程学院(软件学院),电子信息与电气工程学院(微纳电子学系),材料科学与工程学院,数学科学学院,物理与天文学院,生命科学技术学院,生物医学工程学院,人文学院,化学化工学院,安泰经济与管理学院,国际与公共事务学院,外国语学院,农业与生物学院,环境科学与工程学院,药学院,凯原法学院,新闻传播学,电子信息与电气工程学院(微电子学院),马克思主义学院,体育系,上海交大-巴黎高科卓越工程师学院,上海交大-南加州大学文化创意产业学院,塑性成形技术与装备研究院,微纳科学技术研究院,高等教育研究院,中美物流研究院,国际教育学院,上海交大密西根学院,上海高级金融学院,航空航天学院,系统生物医学研究院,人文艺术研究院,设计学院
神经网络,混凝土,机器人,质量保证,分布式,机器人,传感器,机器人,神经网络,分布式,传感器,复合材料,贝叶斯,等离子体,dna,视网膜,普通话,聚合物,供应商,公共服务,语言学,微生物,微生物,特异性,监护人,投资者,载流子,社会主义,近红外,机器人,主旋律,基合金,tsv,博士生,集装箱,x,机器人,房地产,无人机,蛋白质,分析法,交互式
分布式,动力学,发动机,信息化,模块化,神经网络,滤波器,无人机,管理系统,管理系统,等离子体,机器人,分布式,动力学,单胞菌,聚合物,吉尔吉斯语,催化剂,供应链,满意度,语料库,沙门氏菌,污染物,传感器,经营者,立法权,mos,意识形态,推铅球,动力学,博物馆,复合材料,高密度,成熟度,供应链,x,perovskite,ipo,复合材料,核苷酸,批评性,environment
rsa,有限元,动力学,有效性,变压器,cnn,分布式,括约肌,动力学,虚拟化,碳纳米管,镁合金,太阳能,太阳电池,微生物,流式细胞,学习者,复合材料,消费者,公务员,虚无主义,葡萄球菌,自由基,生长因子,投资者,大学生,肖特基,马克思主义,运动员,太阳能,自然语言,cae,可靠性,满意度,供水系统,x,显微镜,上市公司,观测器,streptococcus,话语分析,数字化
存储系统,复合材料,传感器,六西格玛,变流器,控制系统,神经网络,sio2,信息安全,自动化,飞行器,奥氏体,神经网络,半导体,蛋白质,动力学,理查德,两亲性,分析法,分析法,话语分析,转基因,有机物,阳离子,知识产权,流变学,自动控制,资本主义,生命周期,等离子体,知识产权,mdo,rdl,跨文化,公共信息,x,solar,互联网,贝叶斯,胰岛素,消费者,消费者
paddy,lng,控制系统,信贷风险,神经网络,贝叶斯,动力学,葡萄球菌,风险管理,数据库,可编程,氧化物,动力学,激光器,白血病,前列腺,艾尔曼,粘弹性,人力资源,留学生,莎士比亚,aaora,动力学,毛细管,债权人,神经网络,高密度,共同体,体育产业,pid,虚拟社区,机器人,力学性能,定向招生,自动化,x,分辨率,投资者,压气机,ppgalnac,青年教师,老年人
电信号,聚合物,太阳能,特征提取,逆变器,观测器,复合材料,螺旋桨,恶意软件,神经网络,转换器,等离子体,方程组,qcd,特异性,mri,王尔德,改性沥青,投资者,数据库,叙事学,原生质,水资源,sio2,人工智能,消费者,等离子体,比林斯,功能性,karel,满意度,有限元,电流密度,理工学院,满意度,x,分布式,现金流,动力学,pml,指标体系,生成式
计算机,颗粒物,复合材料,vcom,变换器,无人机,ofdm,尖晶石,二进制,计算机,驱动器,传感器,机器人,majorana,基转移酶,磁共振,英国外交部,分子筛,ipo,机器人,理查德,动力学,光电催化,干细胞,表决权,障碍性,pid,历史观,工作台,tcp,选择性,再结晶,zno,相关者,medoids,x,发射率,神经网络,神经网络,糖基化,跨文化,可视化
摄像头,机器人,换热器,缓冲区,cf3i,编码器,谐振器,动力学,网络协议,apache,机器人,供应链,消费者,单光子,干细胞,tumor,新西兰,硅氧烷,管理者,聚合物,控制能力,uplc,磁铁矿,声共振,使用权,还原法,电路板,发展史,体育锻炼,天然气,生命周期,自动化,水热法,小团体,私家车,x,热导率,证券化,可见光,半乳糖,流行语,机器人
低功耗,稳定性,有限元,手机软件,传感器,pid,机器人,神经网络,建设项目,即时通讯,发生器,铝合金,stokes,斯涅耳,基因簇,粒细胞,唐開成,sr0,自动化,规范化,世界性,脂肪酶,复发性,混凝土,公司法,供应商,麦克风,宇宙学,糖尿病,斯特林,综艺节目,hcz,光催化,系统论,斯塔克,x,热力学,收益率,发动机,脂肪酸,twitter,古建筑
毫米波,装配式,催化剂,员工福利,phase,分布式,放大器,传感器,lte,应用程序,放大器,电化学,vlasov,gamma,基因组,生长因子,古定本,fe1,资源管理,等离子体,语义学,pcr,燃料电池,氧化物,出租车,留学生,神经网络,量子力学,老年人,发动机,spss,lbm,复合物,研究生,干散货,x,稳定性,人民币,滤波器,dna,大学生,木结构
